GeneID	Length	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENO1	ENO1	3161	-2.56722063343881	14.0048786828248	-100.518187755836	4.84284814613723e-20	8.51372704090926e-17	36.5107495858914
GLUL	GLUL	8561	2.48532967930229	12.9584305624343	86.989925550529	3.1116777542489e-19	2.73516474598479e-16	34.6891147867761
CLSTN1	CLSTN1	5321	2.33017163486158	12.5029904080193	68.5271398807594	6.69093757684104e-18	3.92088942002885e-15	31.6327496821255
YBX1	YBX1	3209	-2.8935430924991	11.5599208384206	-62.2980674017413	2.27701881270647e-17	1.00074976818449e-14	30.3240020494069
RPL11	RPL11	1044	-2.12814683085804	12.1295229654768	-61.1274674676631	2.90536184003392e-17	1.02152522295593e-14	30.1622376559799
RPS8	RPS8	778	-2.30236174134157	12.1724306014208	-59.956312778736	3.72493457060494e-17	1.09140582918725e-14	29.9120575313143
NCDN	NCDN	3705	3.81881567732367	11.402866009322	58.5449683392072	5.05809540287758e-17	1.27030453117983e-14	29.2863581146687
PEA15	PEA15	2727	2.68384476901468	11.7348769058702	51.1141934311772	2.8881480004655e-16	6.34670523102293e-14	27.865437953599
RPL5	RPL5	1082	-1.90841187054109	11.9379023890645	-49.1931809967151	4.72063068161448e-16	9.22096526475362e-14	27.3389732784201
KIF1B	KIF1B	16647	3.14425399641477	11.2649070153619	47.2114825070263	7.99736142766636e-16	1.40593613898375e-13	26.7920407202512
ATP1B1	ATP1B1	2216	3.08331152155206	11.6245965227604	44.864311216458	1.53725480693889e-15	2.45681268236234e-13	26.1976933319909
LMNA	LMNA	4104	-2.67431094552607	11.0367593384321	-42.6291328796875	2.95791764825602e-15	4.25872738315926e-13	25.5405995996876
TXNIP	TXNIP	3174	-1.99022478371914	11.2702055944662	-42.420955002219	3.14922957799035e-15	4.25872738315926e-13	25.4736443214716
SV2A	SV2A	4513	3.40155246507419	10.6532578956524	41.9279419517157	3.65757006166073e-15	4.56746158718097e-13	25.1589588034505
CCT3	CCT3	2382	-1.65002172511623	11.6240104276431	-41.7206178959452	3.89715152489844e-15	4.56746158718097e-13	25.2056242381267
ATP1A2	ATP1A2	5435	6.45846558254516	10.0914577515324	40.5528469315913	5.60426799197049e-15	6.15768945617757e-13	23.1441998212179
RSPO1	RSPO1	3058	1.10173957162367	12.697943720807	39.5676349614394	7.67623106415046e-15	7.93812600633912e-13	24.2141287392437
RCC2	RCC2	4054	-2.64735859339206	10.521142940886	-39.0788347725213	8.99877517198664e-15	8.78880375130695e-13	24.4036898556594
PLOD1	PLOD1	3117	-3.12368439688679	10.7190301779668	-38.0744550548022	1.25529020468064e-14	1.16147377885714e-12	24.0832544686922
LAMC1	LAMC1	7929	-3.06433682096403	10.2330741392258	-37.5779720668439	1.48454876281156e-14	1.30207204264152e-12	23.8372768595591
ZBTB18	ZBTB18	4513	4.09083302314995	10.0607310995654	37.3800949196695	1.58815766394139e-14	1.30207204264152e-12	23.4308518096473
CAMK2N1	CAMK2N1	2326	2.8606537952351	11.0615798404358	37.2549591687709	1.65768089412176e-14	1.30207204264152e-12	23.8229979287199
PPFIA4	PPFIA4	6508	2.26199826589045	10.8403436646074	37.1755282130484	1.7035072230236e-14	1.30207204264152e-12	23.7959588220049
PRKACB	PRKACB	6604	3.76541178306546	10.4019723522483	36.3899299434774	2.23786091885641e-14	1.63923312306232e-12	23.3490666180379
HDGF	HDGF	3023	-1.62898695995081	11.4299276239471	-35.3639377172	3.22418655535645e-14	2.23829865573475e-12	23.0528145045779
KCNAB2	KCNAB2	4680	2.39259061300468	10.9541956070097	35.290954721933	3.31033930882273e-14	2.23829865573475e-12	23.1312143067679
TAGLN2	TAGLN2	1776	-2.95811663761121	10.6026210808122	-35.1145869977214	3.52893754483129e-14	2.29773044585682e-12	23.0640236839783
DDOST	DDOST	2126	-2.23568557286651	10.5699464135258	-34.709754350697	4.09176942849555e-14	2.56904666260542e-12	22.9215417855003
CSRP1	CSRP1	2188	1.92141014743124	11.3230589984245	34.4405731952198	4.51909718788199e-14	2.6537702284389e-12	22.7619700918238
RAP1GAP	RAP1GAP	4113	3.01716014288104	10.1879134481704	34.4348922328189	4.52861813726774e-14	2.6537702284389e-12	22.7226319827368
AGRN	AGRN	8106	-1.88133699160236	11.3762800842492	-34.0536103013864	5.21976602005477e-14	2.96011247201816e-12	22.5737816569517
PABPC4	PABPC4	3142	-2.39320313054196	10.3232641120494	-33.638963081642	6.10248864460807e-14	3.35255469913156e-12	22.5185911683568
RIMS3	RIMS3	7259	4.94928257765418	9.72449711641791	33.3980256985253	6.6882565975587e-14	3.48197458244112e-12	21.6962957647588
SERBP1	SERBP1	6726	-1.86792644650206	11.2082332696712	-33.3801003815451	6.73419430051184e-14	3.48197458244112e-12	22.3402967146151
PDE4DIP	PDE4DIP	13529	2.68392301574202	10.6655994582826	33.1724781596123	7.29175043441671e-14	3.66254207534416e-12	22.3434320152131
DNAJC6	DNAJC6	6314	4.87876615946856	9.75838816846743	32.7672511692004	8.52846626783405e-14	4.16473436079229e-12	21.5552868629217
NASP	NASP	3291	-2.29534647297879	10.2813807285199	-32.3466714031393	1.00545726824251e-13	4.77728075019011e-12	22.0232920254366
SYT11	SYT11	5182	5.94122352884386	10.0791607947518	32.2726344054453	1.03524433094697e-13	4.78936719422311e-12	21.2478019908445
PAQR6	PAQR6	2401	3.95825910253003	9.87390181882859	32.1784094331483	1.07453502467842e-13	4.84367326508889e-12	21.6783998730356
ADGRB2	ADGRB2	5720	2.6653977947028	10.188315487918	31.4873018854608	1.41681286213268e-13	6.08330265126058e-12	21.6561336903327
GALNT2	GALNT2	5158	-1.98841595513807	10.5262505272225	-31.4821284976367	1.41978023735324e-13	6.08330265126058e-12	21.6672656499745
CSDE1	CSDE1	4313	-0.890844997230188	12.5705844059535	-31.4244023567577	1.45334875627386e-13	6.08330265126058e-12	21.0828794682253
PARP1	PARP1	3978	-1.32748327517769	11.3627048559279	-31.0633549606701	1.68368406153929e-13	6.80635357099278e-12	21.3316960887916
HMGN2	HMGN2	1940	-2.01623482872088	10.938374397412	-30.9847443860629	1.73887152942127e-13	6.80635357099278e-12	21.4121650486621
SORT1	SORT1	7331	1.4950906442281	11.6348574450345	30.9800325919763	1.7422406751688e-13	6.80635357099278e-12	21.2684405674631
MCL1	MCL1	4085	-1.51925376597893	11.0265223496424	-30.8065982521241	1.87127843940674e-13	7.15153803581968e-12	21.3002276925328
MACF1	MACF1	17689	1.24705162113133	11.6493569650454	30.3728996012846	2.2412274493294e-13	8.38314437430017e-12	20.9844291404074
NFASC	NFASC	11059	4.92708589195672	9.55102966158508	30.2438857123184	2.36593448177078e-13	8.66523503948546e-12	20.5463912853519
PDIA3P1	PDIA3P1	2099	-1.75012214780054	10.6600300341428	-29.6206834340256	3.0831472074004e-13	1.10615771236937e-11	20.8543550496346
RNF11	RNF11	3074	1.90845731565131	10.5285439041551	29.1548356433552	3.77137211326014e-13	1.32601443502227e-11	20.6871929976359
H3-3A	H3-3A	2263	-1.50236036940833	11.0376515269903	-28.6889836356733	4.62780737790184e-13	1.59523242555911e-11	20.35546875262
S100A11	S100A11	563	-4.16110677697663	8.91287649436661	-28.2856610203678	5.53938132414672e-13	1.87273699381729e-11	19.8094288253722
CD55	CD55	3259	-2.67317145237448	9.65168695104481	-27.8664657323102	6.69535911894545e-13	2.22083798700115e-11	20.1086257196613
PLEKHG5	PLEKHG5	5968	3.50739502947601	9.36378984851913	27.8007468494609	6.89901555583793e-13	2.24601284206724e-11	19.8706237605881
RGS4	RGS4	3978	5.30466377525292	9.03386686817259	27.6907682269447	7.25489729087365e-13	2.30039233974194e-11	19.0919984917241
ILF2	ILF2	1906	-1.96474811071266	10.5193526897805	-27.6333872329869	7.44837930697129e-13	2.30039233974194e-11	19.97557903769
MLLT11	MLLT11	2483	2.91108807284748	9.83786500959744	27.6303979207036	7.45860997527249e-13	2.30039233974194e-11	19.9912124056399
GNB1	GNB1	3194	0.72675972113918	12.563000723267	27.5480543477891	7.74645556219125e-13	2.3109937598895e-11	19.3254200638966
CAMTA1	CAMTA1	11206	3.02257057382158	9.73634205721434	27.5454101075255	7.75589487107397e-13	2.3109937598895e-11	19.9298831715492
FBXO44	FBXO44	3495	2.73646132490536	9.67788615178541	27.318940524681	8.61215872000386e-13	2.52336250496113e-11	19.8386880539377
NID1	NID1	5792	-3.1778695781754	9.1558710202091	-27.0944172860344	9.56231634867385e-13	2.75582821983092e-11	19.6324815997008
SHC1	SHC1	3610	-2.29369758524374	9.8205970660185	-26.9214018659426	1.03713824678592e-12	2.94078877072524e-11	19.6953167930829
ITPKB	ITPKB	6162	1.55467693060215	10.6974468559076	26.3216581709005	1.37984368960519e-12	3.81857292133677e-11	19.3181673505343
SRGAP2	SRGAP2	7848	1.71271663659902	10.5135405745686	26.2608419748064	1.42087333918287e-12	3.81857292133677e-11	19.3252903596201
HSPG2	HSPG2	14344	-2.94368648157192	9.63046944255291	-26.2578788758668	1.42290565514363e-12	3.81857292133677e-11	19.3632369968844
S100A6	S100A6	434	-1.61147590451303	10.5552260334546	-26.2312305126804	1.44132432803211e-12	3.81857292133677e-11	19.2750018286869
TMCC2	TMCC2	4748	3.71879480734361	9.25770453423167	26.2112323412789	1.45531504965622e-12	3.81857292133677e-11	19.114734576927
ACAP3	ACAP3	3793	1.38543170649364	11.0878088881833	26.1776143572638	1.47916464503975e-12	3.82407565585277e-11	19.1534231044752
RGS5	RGS5	7167	3.50872417202208	9.1077085671005	26.0317124302335	1.58765629452508e-12	4.04507212431173e-11	19.0130982400322
CELSR2	CELSR2	11015	1.18494973297902	11.3830449582766	25.9620544303025	1.64244707606097e-12	4.12488851387882e-11	18.9557127470261
AK2	AK2	6162	-1.97838504027601	10.0083896982818	-25.9211087767774	1.67560062850159e-12	4.14888155620534e-11	19.2035918333799
AHCYL1	AHCYL1	4968	1.14752765870767	11.7009456818212	25.8444053599025	1.7396615868005e-12	4.23477268096115e-11	18.800266507534
SLC16A1	SLC16A1	4669	-2.00922767575459	10.1190167793946	-25.8103965971328	1.76890397242908e-12	4.23477268096115e-11	19.1396051677268
SKI	SKI	6083	1.67060003151274	10.9605133524248	25.7947270339853	1.78255505341937e-12	4.23477268096115e-11	19.0059874795684
SLC6A17	SLC6A17	6419	6.09271820332592	8.78437047561758	25.6086754171853	1.95359675614148e-12	4.43848634386377e-11	17.7132536932432
SFPQ	SFPQ	3978	-1.13082885836333	11.2705248756362	-25.598746160979	1.96320830487367e-12	4.43848634386377e-11	18.767128377241
TPM3	TPM3	11528	-1.21716491934781	11.2811459889429	-25.5842823206425	1.97730051586562e-12	4.43848634386377e-11	18.7600998937916
LIN28A	LIN28A	3975	-10.8592331385991	5.64979115732262	-25.5792312661191	1.982247404676e-12	4.43848634386377e-11	13.9033512436825
LBR	LBR	3898	-2.8650520083714	9.17452996346261	-25.5667366705036	1.99454164485346e-12	4.43848634386377e-11	18.9764813319774
PRKCZ	PRKCZ	3840	3.07456460056751	9.33034419652538	25.4815497506336	2.08058117387069e-12	4.53636151473758e-11	18.9034426378632
EIF3I	EIF3I	1919	-1.76584186363872	10.4597282906035	-25.4723276922403	2.09013243853097e-12	4.53636151473758e-11	18.9137861289491
BCAN	BCAN	3877	3.09216795714134	9.43002600826461	25.4326012249422	2.13181984467486e-12	4.57041376455903e-11	18.9009180719671
LMO4	LMO4	5064	2.51046363691265	10.0451820618214	25.4015923244395	2.16498107078411e-12	4.58558641257647e-11	18.9609934904125
CADM3	CADM3	3841	6.6643017181112	8.65355743058875	25.3750125581221	2.19384773004893e-12	4.59140989217383e-11	17.1947801995577
HNRNPU	HNRNPU	6867	-0.883105923225214	12.2760001450973	-25.26362499125	2.31940300831072e-12	4.79707116307088e-11	18.2459690935225
RERE	RERE	8466	1.30478918028438	10.9812506941455	25.1807456737426	2.41783521624102e-12	4.89010595051992e-11	18.6592835531984
SSR2	SSR2	1108	-1.81114748451288	10.1081122200599	-25.1789489232509	2.42001830315832e-12	4.89010595051992e-11	18.8151191009108
PLEKHA6	PLEKHA6	7412	3.06692764438742	9.24090404695315	25.1233631221493	2.48861507174484e-12	4.97157420014481e-11	18.7130388341395
IGSF8	IGSF8	2327	1.71110980916028	10.8539564322214	24.9151666829042	2.7647477651723e-12	5.46115345075608e-11	18.5748837072223
PLEKHM2	PLEKHM2	4134	1.36703386924439	10.965438751718	24.6070166721248	3.23572212871411e-12	6.32044389142157e-11	18.3620758504846
NIPAL3	NIPAL3	7447	2.66307090679806	10.202990797385	24.4511044919235	3.5063100174632e-12	6.77372858318714e-11	18.4717141213715
KDM1A	KDM1A	3103	-1.58833484411834	10.2734768770752	-24.2159966753344	3.96143322922546e-12	7.56978219236777e-11	18.2773656922787
DDAH1	DDAH1	4398	2.3534918462442	9.76136049645575	24.1614413373616	4.07588335892374e-12	7.70165993288921e-11	18.3308405533474
